customer_id,order_id,order_date,net_amount,returned
C0001,OC0001_1,2023-01-15,105.32,False
C0001,OC0001_2,2023-04-05,66.56,False
C0001,OC0001_3,2023-07-25,90.57,False
C0001,OC0001_4,2023-10-01,68.91,False
C0001,OC0001_5,2023-12-19,14.41,False
C0001,OC0001_6,2023-12-22,93.45,False
C0001,OC0001_7,2024-02-05,75.88,True
C0001,OC0001_8,2024-02-19,33.36,False
C0001,OC0001_9,2024-03-16,45.91,False
C0001,OC0001_10,2024-04-21,106.27,False
C0001,OC0001_11,2024-06-14,34.59,False
C0001,OC0001_12,2024-09-03,65.83,False
C0001,OC0001_13,2024-10-19,138.34,False
C0001,OC0001_14,2024-12-09,94.24,False
C0002,OC0002_1,2023-01-05,42.0,False
C0002,OC0002_2,2023-01-12,66.03,False
C0002,OC0002_3,2023-03-19,126.41,False
C0002,OC0002_4,2023-06-03,118.1,False
C0002,OC0002_5,2023-07-17,87.34,False
C0002,OC0002_6,2023-07-26,29.07,False
C0002,OC0002_7,2023-09-19,75.95,False
C0002,OC0002_8,2024-01-14,57.44,False
C0002,OC0002_9,2024-01-19,53.99,False
C0002,OC0002_10,2024-06-25,89.34,False
C0002,OC0002_11,2024-07-03,120.75,False
C0002,OC0002_12,2024-09-06,102.96,False
C0002,OC0002_13,2024-09-18,59.13,False
C0002,OC0002_14,2024-12-19,101.83,False
C0002,OC0002_15,2024-12-23,38.28,False
C0003,OC0003_1,2023-01-15,47.67,False
C0003,OC0003_2,2023-01-22,80.58,False
C0003,OC0003_3,2023-02-05,80.2,False
C0003,OC0003_4,2023-03-06,72.59,False
C0003,OC0003_5,2023-03-14,92.18,False
C0003,OC0003_6,2023-03-24,154.08,False
C0003,OC0003_7,2023-04-13,71.97,False
C0003,OC0003_8,2023-05-17,86.36,False
C0003,OC0003_9,2023-09-24,78.4,True
C0003,OC0003_10,2023-10-30,61.49,False
C0003,OC0003_11,2023-12-11,96.15,False
C0003,OC0003_12,2023-12-26,70.55,False
C0003,OC0003_13,2023-12-27,55.49,False
C0003,OC0003_14,2024-04-25,57.49,True
C0003,OC0003_15,2024-05-23,106.6,True
C0003,OC0003_16,2024-09-17,95.38,False
C0003,OC0003_17,2024-11-01,64.5,False
C0004,OC0004_1,2023-02-21,50.91,False
C0004,OC0004_2,2023-02-22,38.81,False
C0004,OC0004_3,2023-05-15,15.43,False
C0004,OC0004_4,2023-06-21,64.99,False
C0004,OC0004_5,2023-11-04,112.57,False
C0004,OC0004_6,2024-01-01,103.91,False
C0004,OC0004_7,2024-01-25,128.05,False
C0004,OC0004_8,2024-04-12,49.76,False
C0004,OC0004_9,2024-04-27,98.17,False
C0004,OC0004_10,2024-07-07,74.92,False
C0004,OC0004_11,2024-09-13,57.54,False
C0004,OC0004_12,2024-09-29,108.64,False
C0004,OC0004_13,2024-10-05,75.21,False
C0004,OC0004_14,2024-10-22,27.84,False
C0005,OC0005_1,2023-05-11,44.38,False
C0005,OC0005_2,2023-05-23,85.66,True
C0005,OC0005_3,2023-08-29,122.94,False
C0005,OC0005_4,2023-12-14,88.7,False
C0005,OC0005_5,2024-09-08,35.03,True
C0005,OC0005_6,2024-09-24,90.99,True
C0006,OC0006_1,2023-05-21,80.64,False
C0006,OC0006_2,2023-06-07,70.89,False
C0006,OC0006_3,2023-07-17,84.1,False
C0006,OC0006_4,2024-02-19,109.85,False
